id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments
52,1,3/22/2006 16:04:41,3/22/2006 16:04:41,74,20,,,
47,1,3/22/2006 16:04:20,3/22/2006 16:04:20,21,20,,,
45,1,3/22/2006 16:04:12,3/22/2006 16:04:12,19,20,,,
55,1,3/22/2006 16:05:11,3/22/2006 16:05:11,4,40,,,
43,1,3/22/2006 16:04:02,3/22/2006 16:04:02,14,40,,,
46,1,3/22/2006 16:04:17,3/22/2006 16:04:17,20,40,,,
59,1,3/22/2006 16:05:47,3/22/2006 16:05:47,1,40,,,
44,1,3/22/2006 16:04:07,3/22/2006 16:04:07,17,40,,,
49,1,3/22/2006 16:04:28,3/22/2006 16:04:28,41,40,,,
51,1,3/22/2006 16:04:38,3/22/2006 16:04:38,51,40,,,
41,1,3/22/2006 16:03:47,3/22/2006 16:03:47,7,40,,,
36,1,3/22/2006 16:02:48,3/22/2006 16:02:48,72,40,,,
57,1,3/22/2006 16:05:26,3/22/2006 16:05:26,65,40,,,
56,1,3/22/2006 16:05:14,3/22/2006 16:05:14,5,40,,,
42,1,3/22/2006 16:03:54,3/22/2006 16:03:54,8,40,,,
60,1,3/22/2006 16:05:51,3/22/2006 16:05:51,34,60,,,
53,1,3/22/2006 16:04:45,3/22/2006 16:04:45,77,60,,,
35,1,3/22/2006 16:02:28,3/22/2006 16:02:28,80,75,,,
39,1,3/22/2006 16:03:14,3/22/2006 16:03:14,57,80,,,
58,1,3/22/2006 16:05:32,3/22/2006 16:05:32,66,80,,,
61,1,3/22/2006 16:06:00,3/22/2006 16:06:00,43,100,,,
54,1,3/22/2006 16:05:07,3/22/2006 16:05:07,3,100,,,
40,1,3/22/2006 16:03:40,3/22/2006 16:03:40,6,100,,,
37,1,3/22/2006 16:03:04,3/22/2006 16:03:04,52,100,,,
50,1,3/22/2006 16:04:31,3/22/2006 16:04:31,48,100,,,
38,1,3/22/2006 16:03:09,3/22/2006 16:03:09,56,120,,,
48,1,3/22/2006 16:04:24,3/22/2006 16:04:24,40,120,,,
62,1,3/22/2006 16:06:03,3/22/2006 16:06:03,81,125,,,
111,1,4/4/2006 11:02:56,4/4/2006 11:02:56,19,10,,,
105,1,4/4/2006 11:01:55,4/4/2006 11:01:55,8,25,,,
109,1,4/4/2006 11:02:37,4/4/2006 11:02:37,19,25,,,
80,1,3/24/2006 10:54:33,3/24/2006 10:54:33,19,30,,,
107,1,4/4/2006 11:02:17,4/4/2006 11:02:17,34,300,,,
76,1,3/24/2006 10:53:36,3/24/2006 10:53:36,43,300,,,
102,1,4/4/2006 11:01:14,4/4/2006 11:01:14,34,50,,,
