id,purchase_order_id,product_id,quantity,unit_cost,date_received,posted_to_inventory,inventory_id
292,146,20,40,60,,0,
289,141,6,10,18.75,,0,
272,102,43,300,34,,0,
282,92,19,20,7,,0,
286,91,4,40,16,,0,
285,91,3,50,8,,0,
288,140,85,10,9,,0,
281,90,1,40,14,,0,
290,142,1,1,13.5,,0,
293,146,51,40,39,,0,
294,147,40,120,13,,0,
295,148,72,40,26,,0,
264,95,80,75,3,1/22/2006 0:00:00,1,35
261,94,72,40,26,1/22/2006 0:00:00,1,36
256,93,52,100,5,1/22/2006 0:00:00,1,37
257,93,56,120,28,1/22/2006 0:00:00,1,38
258,93,57,80,15,1/22/2006 0:00:00,1,39
242,92,6,100,19,1/22/2006 0:00:00,1,40
243,92,7,40,22,1/22/2006 0:00:00,1,41
244,92,8,40,30,1/22/2006 0:00:00,1,42
245,92,14,40,17,1/22/2006 0:00:00,1,43
246,92,17,40,29,1/22/2006 0:00:00,1,44
247,92,19,20,7,1/22/2006 0:00:00,1,45
248,92,20,40,61,1/22/2006 0:00:00,1,46
249,92,21,20,8,1/22/2006 0:00:00,1,47
251,92,40,120,14,1/22/2006 0:00:00,1,48
252,92,41,40,7,1/22/2006 0:00:00,1,49
254,92,48,100,10,1/22/2006 0:00:00,1,50
255,92,51,40,40,1/22/2006 0:00:00,1,51
262,92,74,20,8,1/22/2006 0:00:00,1,52
263,92,77,60,10,1/22/2006 0:00:00,1,53
239,91,3,100,8,1/22/2006 0:00:00,1,54
240,91,4,40,16,1/22/2006 0:00:00,1,55
241,91,5,40,16,1/22/2006 0:00:00,1,56
259,91,65,40,16,1/22/2006 0:00:00,1,57
260,91,66,80,13,1/22/2006 0:00:00,1,58
238,90,1,40,14,1/22/2006 0:00:00,1,59
250,90,34,60,10,1/22/2006 0:00:00,1,60
253,90,43,100,34,1/22/2006 0:00:00,1,61
265,90,81,125,2,1/22/2006 0:00:00,1,62
271,101,81,200,2,1/22/2006 0:00:00,1,72
270,100,48,100,10,1/22/2006 0:00:00,1,74
269,99,43,300,34,1/22/2006 0:00:00,1,76
268,98,41,200,7,1/22/2006 0:00:00,1,78
267,97,19,30,7,1/22/2006 0:00:00,1,80
266,96,34,100,10,1/22/2006 0:00:00,1,82
275,105,57,100,15,4/5/2006 0:00:00,1,100
283,111,34,50,10,4/4/2006 0:00:00,1,102
280,110,43,250,34,4/10/2006 0:00:00,1,103
278,108,8,25,30,4/5/2006 0:00:00,1,105
277,107,34,300,10,4/5/2006 0:00:00,1,107
279,109,19,25,7,4/5/2006 0:00:00,1,109
273,103,19,10,7,4/17/2006 0:00:00,1,111
276,106,72,50,26,4/5/2006 0:00:00,1,113
274,104,41,50,7,4/6/2006 0:00:00,1,115
